timestep,episodes,mean_reward,mean_length,entropy_loss,policy_loss,value_loss,learning_rate
2048,8,0.8292741249999942,256.0,0,0,0,0.0003
4096,16,-26.2028728,256.0,-1.6084673181176186,-0.0017459663475165143,2471.411199951172,0.00023856
6144,24,20.215497,256.0,-1.6042063146829606,-0.002991861299960874,888.5649453163147,0.00017711999999999998
8192,32,-103.0125724,256.0,-1.5991259638220072,-0.0025011377758346496,1618.844210243225,0.00011568
10240,40,-70.02009769999998,256.0,-1.5934456437826157,-0.0002401434612693265,4002.517269897461,5.423999999999998e-05
