timestep,episodes,mean_reward,mean_length,entropy_loss,policy_loss,value_loss,learning_rate
2048,8,18.920387375,256.0,0,0,0,0.0003
4096,16,-36.939521799999994,256.0,-1.6089361157268285,-0.0009715181367937475,600.5603960990906,0.00023856
6144,24,-143.8466556,256.0,-1.6042853225022555,-0.003960807074327022,2600.1392023086546,0.00017711999999999998
8192,32,-140.9592326,256.0,-1.593268933519721,-0.0017639867917750962,2287.4923234939574,0.00011568
10240,40,-79.6516269,256.0,-1.5820226106792687,-0.0017383556769345887,2428.7874855041505,5.423999999999998e-05
