timestep,episodes,mean_reward,mean_length,entropy_loss,policy_loss,value_loss,learning_rate
2048,8,12.957663875000001,256.0,0,0,0,0.0003
4096,16,-6.367895599999997,256.0,-1.6089181914925574,0.0003983011614764109,1137.813826084137,0.00023856
6144,24,-306.39203770000006,256.0,-1.6020604599267245,-0.002767402841709554,908.1609230041504,0.00017711999999999998
8192,32,-189.472195,256.0,-1.5956258419901133,-0.00256109400652349,5911.83549118042,0.00011568
10240,40,-178.90300689999998,256.0,-1.5973714485764503,-0.0026463350557605738,3982.6483470916746,5.423999999999998e-05
