time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
2048,1,699,2,,,,,,,,,,,,
4096,2,549,7,0.24057744443416595,0.012800199,0.45047147292643785,-1.5982102248817682,10,0.2,0.00017711999999999998,0.092724609375,-0.004125475883483887,-0.008796746488951613,,
6144,3,514,11,3.067138433456421,0.012903489,6.945509336143732,-1.5753301631659269,20,0.2,5.423999999999998e-05,0.0,0.00032317638397216797,-0.0034859213687013836,4999.0,-312.68398
