time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
2048,1,962,2,,,,,,,,,,,,
4096,2,672,6,0.19373518228530884,0.013732525,0.39763243021443484,-1.6010250478982926,10,0.2,0.00017711999999999998,0.05537109375,-0.006670475006103516,-0.004769651431706734,,
6144,3,639,9,0.2633543908596039,0.012220376,0.8147042453289032,-1.579457401111722,20,0.2,5.423999999999998e-05,0.0244140625,-0.00138092041015625,-0.00474148341018008,4999.0,-178.591167
